Id,ActivityDay,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
1503960366,4/12/2016,"13,162.00",8.5,8.5,0,1.88,0.55,6.06,0,25,13,328,728,"1,985.00",1,327,346
1503960366,4/13/2016,"10,735.00",6.97,6.97,0,1.57,0.69,4.71,0,21,19,217,776,"1,797.00",2,384,407
1503960366,4/14/2016,"10,460.00",6.74,6.74,0,2.44,0.4,3.91,0,30,11,181,"1,218.00","1,776.00",NA,NA,NA
1503960366,4/15/2016,"9,762.00",6.28,6.28,0,2.14,1.26,2.83,0,29,34,209,726,"1,745.00",1,412,442
1503960366,4/16/2016,"12,669.00",8.16,8.16,0,2.71,0.41,5.04,0,36,10,221,773,"1,863.00",2,340,367
1503960366,4/17/2016,"9,705.00",6.48,6.48,0,3.19,0.78,2.51,0,38,20,164,539,"1,728.00",1,700,712
1503960366,4/18/2016,"13,019.00",8.59,8.59,0,3.25,0.64,4.71,0,42,16,233,"1,149.00","1,921.00",NA,NA,NA
1503960366,4/19/2016,"15,506.00",9.88,9.88,0,3.53,1.32,5.03,0,50,31,264,775,"2,035.00",1,304,320
1503960366,4/20/2016,"10,544.00",6.68,6.68,0,1.96,0.48,4.24,0,28,12,205,818,"1,786.00",1,360,377
1503960366,4/21/2016,"9,819.00",6.34,6.34,0,1.34,0.35,4.65,0,19,8,211,838,"1,775.00",1,325,364
1503960366,4/22/2016,"12,764.00",8.13,8.13,0,4.76,1.12,2.24,0,66,27,130,"1,217.00","1,827.00",NA,NA,NA
1503960366,4/23/2016,"14,371.00",9.04,9.04,0,2.81,0.87,5.36,0,41,21,262,732,"1,949.00",1,361,384
1503960366,4/24/2016,"10,039.00",6.41,6.41,0,2.92,0.21,3.28,0,39,5,238,709,"1,788.00",1,430,449
1503960366,4/25/2016,"15,355.00",9.8,9.8,0,5.29,0.57,3.94,0,73,14,216,814,"2,013.00",1,277,323
1503960366,4/26/2016,"13,755.00",8.79,8.79,0,2.33,0.92,5.54,0,31,23,279,833,"1,970.00",1,245,274
1503960366,4/27/2016,"18,134.00",12.21,12.21,0,6.4,0.41,5.41,0,78,11,243,"1,108.00","2,159.00",NA,NA,NA
1503960366,4/28/2016,"13,154.00",8.53,8.53,0,3.54,1.16,3.79,0,48,28,189,782,"1,898.00",1,366,393
1503960366,4/29/2016,"11,181.00",7.15,7.15,0,1.06,0.5,5.58,0,16,12,243,815,"1,837.00",1,341,354
